patent_number,title,enhanced_title,novelty,advantage,biology,examples,chemistry,first_publication_date,first_priority_number,first_priority_date,last_change_date,application_number,application_date
WO-2022089514,"Polycyclic bioregulator, preparation method therefor and application thereof","New substituted polycyclic compounds are eIF4A inhibitors - useful for treating cancer, Alzheimer's disease and autism-related diseases.","New substituted polycyclic compounds or its salts or stereoisomers, compositions comprising them, a process for its preparation and their use in the treatment and/or prevention of ATP-dependent RNA helicase-related diseases especially eukaryotic initiation factor 4A inhibitor-related diseases such as cancer (eg colorectal cancer, bladder cancer, gastric cancer, leukemia or lymphoma), myelodysplastic syndrome, Alzheimer's disease, Parkinson's disease, Fragile X syndrome and autism-related diseases, are claimed. The compounds are disclosed to act as eukaryotic translation initiation factor 4F (eIF4A) inhibitors.",No specific advantage is given.,"An in vivo pharmacodynamic study was performed to evaluate the efficacy of test compounds on human colon adenocarcinoma cell line NCI-H716 in BALB/c nude mouse subcutaneous xenograft tumor model. Results revealed that (I) (1,5 mpk, BIW, IV) exhibited significant tumor inhibition at 18 days after administration with % TGI of 62.71% (test example 3, page 144-146; table 4).",,"Several compounds including (5aR,6S,7S,8R,8aS)-5a-(4-cyclopropylphenyl)-7-((dimethylamino)methyl)-1,3-dimethoxy-6-phenyl-5a,6,7,8-tetrahydro-8aH-cyclopenta[4,5]furo[3,2-c]pyridine-8,8a-diol (I) (example 83, page 71-72; claim 10, page 158) are specifically claimed. A Markush structure is presented (claim 1, page 148).",2022-05-05,CN2020101175220; CN202011175220,2020-10-28,2022-06-28,,
WO-2022140580,,"Prodrugs of xanthophyll derivatives are TGF?1 signaling and HDAC9 inhibitors - useful for treating nonalcoholic fatty liver disease, chronic viral hepatitis B infection, acute coronary syndrome and cognitive disease.","Prodrugs of xanthophyll derivatives comprising a modification to at least one hydroxyl group substituted with a prodrug moiety present on a parent xanthophyll or their salts and co-crystals, compositions comprising them and their use as TGF?1 signaling and HDAC9 inhibitors for treating nonalcoholic fatty liver disease, non-alcoholic steatohepatitis, lobular inflammation, acute coronary syndrome, cognitive disease, non-alcoholic steatohepatitis-derived hepatocellular carcinoma and fibrotic disease, eg chronic viral hepatitis B, Wilson's disease and acute interstitial pneumonitis, are claimed. The compounds are further claimed to reduce liver weight, plasma alanine aminotransferase levels, liver triglyceride content or liver cholesterol. Methods for reverting activated hepatic stellate cells (aHSCs) in a subject to an inactivated HSCs (iHSCs) phenotype or to a quiescence HSCs (qHSCs) phenotype; for inhibiting the activation of quiescence HSCs (qHSCs) to activated hepatic stellate cells (aHSCs)",The compounds have improved properties including improved physicochemical characteristics.,"An in vivo protocol is presented to test the effect of several prodrugs on C57B1/6J (WT) mice. However, no resultant data are given (pages 77 and 78). Also in an in vitro test, formation of astaxanthin from the prodrugs, in resuspended Caco-2 cells previously frozen was tested. (I) showed an expectedly higher conversion efficiency to trans-astaxanthin than other prodrugs (example 5, pages 70-72).",,"Several prodrugs are exemplified, eg (all-E)-3S,3'S-astaxanthin-di-N-nicotinoylglycinate ((1S)-3,5,5?trimethyl?2?oxo?4?[(1E,3E,5E,7E,9E,11E,13E,15E,17E)?3,7,12,16?tetramethyl?18?[(4S)?2,6,6?trimethyl?3?oxo?4?({2?[(pyridin?3?yl)formamido]acetyl}oxy)cyclohex?1?en?1?yl]octadeca?1,3,5,7,9,11,13,15,17?nonaen?1?yl]cyclohex?3?en?1?yl 2?[(pyridin?3?yl)formamido]acetate) (compound CCXX; I) (example 1, page 62). No compounds are specifically claimed. Markush structures are presented (claim 1, page 86).",2022-06-30,US2020130435,2020-12-24,2022-07-13,,
WO-2022140169,Preparation of tetrahydroindazole derivatives as novel diacylglyceride o-acyltransferase 2 inhibitors,"New tetrahydroindazole derivatives are diacylglyceride O-acyltransferase 2 (DGAT2) inhibitors - useful for treating nonalcoholic steatohepatitis, type-2 diabetes mellitus, obesity, atherosclerosis and dementia.","New tetrahydroindazole derivatives, or its salt, and composition comprising them are claimed. The compounds are claimed to be useful for treating a condition selected from hepatic steatosis, nonalcoholic steatohepatitis (NASH), fibrosis, type-2 diabetes mellitus, obesity, hyperlipidemia, hypercholesterolemia, atherosclerosis, cognitive decline, dementia, cardiorenal diseases and heart failure.",No specific advantage is given.,In an in vitro test (I) showed an IC50 value of 0.33 nM against DGAT2 (page 79).,,"Several tetrahydroindazole derivatives are specifically claimed including (R)-3-(5-(difluoromethoxy)-2-fluorophenyl)-1-(3,5-difluoropyridin-2-yl)-N-(3-methyl-1,1-dioxidothietan-3-yl)-4,5,6,7-tetrahydro-1H-indazole-6-carboxamide (I) (example 11, page 79, claim 29, page 144). A Markush structure is presented (claim 1, page 130).",2022-06-30,US2020128915,2020-12-22,2022-07-15,,
WO-2022140852,Stim proteins couple nmda receptors to pannexin 1 activation,"Use of Panx1 activation inhibiting agent that specifically prevent Panx1 activation by STIM - for treating pathopsychological disorder eg ischemia, stroke, and Alzheimer's disease.","A method of treating a pathopsychological disorder associated with Panx1 activation is claimed, comprising administering Panx1 activation inhibiting agent to an individual in need of such treatment. It is claimed that the pathopsychological disorder is selected from eg ischemia, stroke, migraine, chronic pain, epilepsy and Alzheimer's disease. It is claimed that Panx1 activation inhibiting agent is Panx1-STIM interaction displacing peptide. Finally, a method for screening for agents able to specifically prevent Panx1 activation by STIM, is claimed.",The Panx1 activation inhibiting agent specifically prevent Panx1 activation by STIM.,"Studies were performed to establish the role of STIM in activating Panx1 using HEK 293T (HEK) cells. CBX-sensitive outwardly rectifying currents were absent in native HEK cells and thapsigargin application does not induce any membrane current. In contrast, outwardly rectifying CBX-sensitive currents could readily be recorded from HEK cells expressing Panx1. However, expression of Panx1 alone was insufficient to reconstitute thapsigargin treatment-induced currents. Only when Panx1 was co-expressed with either STIM1 or STIM2, did thapsigargin application evoke currents comparable to those recorded in neurons. Thapsigargin-stimulated currents exhibited linear IV characteristics and could be completely inhibited by application of La3+ (example 2, pages 23-24; figure 2).",,Sequences provided in source document.,2022-07-07,US2020131536,2020-12-29,2022-07-16,,
WO-2022143976,"Phenylarsine oxide crystal form I, crystal form II, and crystal form III and preparation method therefor",Novel crystalline forms of phenylarsine oxide - useful for treating Alzheimer's disease.,"Novel crystalline forms of phenylarsine oxide (designated as Form I, II and III), processes for their preparation and compositions comprising them are claimed. Also claimed are their use for treating Alzheimer's disease. The compound is known to be a PI4KIII?protein inhibitor.","The crystalline forms of compounds are stated to be more stable, soluble, improve its bioavailability and non-hygroscopic nature.","An in vivo study was performed to determine the effect of (I) in monkeys. Results showed that the (I) exhibited Cmax of 141 ng/mL, Tmax of 4 h, Tlast of 48.0 h, AUC0-last of 4500 ng.h/mL, MRT0-last of 24.8 h (example 23, pages 22-24; table 16).","Compound of (I) (20 mg) was dissolved in solvent by using slow volatilization method to yield crystalline Form II of (I) (example 8, page 16).","Phenylarsine oxide is (I) (claim 1, page 30).",2022-07-01,CN202011627724,2020-12-31,2022-07-19,,
WO-2022143622,Salts of pyridinylmethylenepiperidine derivatives and uses thereof,"Novel crystalline forms of pyridinylmethylenepiperidine derivatives - useful for treating pain, migraine, erectile dysfunction, memory loss, and dementia.","Novel crystalline forms of pyridinylmethylenepiperidine derivatives and their salts, such as methanesulfonate (designated as Form A), processes for their preparation and compositions comprising them are claimed. Also claimed are their use for treating a disease related to 5-HT1F receptors, such as alcoholism, amnesia, pain, migraine, erectile dysfunction, memory loss, dementia, anxiety disorder, depression, and attention deficit hyperactivity disorder. Further claimed are their use as a 5-HT 1f receptor agonist.","The crystalline forms of compounds are stated to be more stable, soluble and non hygroscopic nature.","An in vivo study was performed to determine the effect of (I) in Beagle dogs. Results showed that the (I) exhibited Tmax of 0.667 h, Cmax of 99.9 ng/mL and AUClast of 238 h.ng/mL (example 7, pages 30-32; table 2).","Compound of (I) (75.86 g) was dissolved in ethyl acetate at RT and heated at 80 °C and stirred, followed by addition of methanesulfonic acid in ethyl acetate and lowered the RT and again stirred for 2h. The resulting solid was filtered, washed, dried at 50 °C to yield crystalline Form A of (I) (90.66 g) with 95.41% of yield (example 1, page 27). Also, (I) was found to be more stable at 40 °C, 60 °C, 25 °C/75% RH and 25 °C/90% RH for 30 days (example 8, pages 32 and 33).","Methanesulfonate of compound of formula I (2,4,6-trifluoro-N-(6-(fluoro(1-methylpiperidin-4-ylidene)methyl)pyridin-2-yl)benzamide) is (I) (page 1; claims 1 and 2, page 36).",2022-07-01,CN202011591371,2020-12-29,2022-07-19,,
WO-2022149800,Method for diagnosis and treatment of autism spectrum disorder on basis of activity regulation mechanism of dormant neural stem cell,Methods for diagnosing and treating autism spectrum disorder - comprises inhibiting the dormant activity of quiescent neural stem cells.,"A method for preventing or treating autism spectrum disorder by inhibiting the dormant activity of quiescent neural stem cells (qNSC) is claimed, wherein the method may comprise administering OICR-9429, a Kmt2a inhibitor, a Kmt2c inhibitor (eg shRNA). A composition for the prevention or treatment of autism spectrum disorders comprising an inhibitor of dormant activity of qNSC is claimed. A method of screening for a preventive or therapeutic agent for autism spectrum disorder is claimed, comprising treating the dormant neural stem cells with a candidate substance for preventing or treating autism spectrum disorder; and measuring the dormant activity in the neural stem cells. A composition for diagnosing autism spectrum disorders, comprising an agent capable of measuring the dormant activity of dormant neural stem cells is claimed. A method for producing an animal model of autism spectrum disorder by increasing the dormant activity of dormant neural stem cells in animals other than humans is claimed.",The methods confer early prediction and more effective treatment for autisim.,"In vivo studies were performed for the treatment of social behavioral deficits in autistic mice by regulating the activity of Kmt2c using a shRNA in dormant neural stem cells. Results showed that the the Kmt2c shRNA-treated group restored social behavior and the H3K4me3 level of the Kmt2c shRNA-treated group in GFAP+,Nestin+ qNSC was decreased compared to the control group. Also, the social preference (social stimulus/non-social stimulus ratio) of autistic mice administered with Kmt2c shRNA was restored to a level similar to that of normal mice (example 7, pages 19 and 20, figure 7).","Methods for the preparation of autism mice models are described briefly. Also, methods for the preparation of human iPSC-derived neural stem cells having an autistic phenotype are described briefly (examples 1-3 and 6, pages 14-16, 18 and 19).",Sequences provided in source document.,2022-07-13,KR2021957,2021-01-05,2022-07-20,,
WO-2022145408,Cyclic amine derivatives having serotonin receptor binding activity,"Novel cyclic amine derivatives are serotonin 5-HT2A receptor inhibitors - useful for treating, neurodegenerative disorders.","Novel cyclic amine derivatives, their salts, compositions comprising them and their use for antagonizing/reversing the serotonin 5-HT2A receptor, are claimed. The compounds are disclosed to be useful for treating, neurodegenerative disorders, eg Alzheimer's disease and related dementia, Parkinson's disease, Huntington's disease, Lewy body disease and related motor disorders.",No specific advantage is given.,"In an in vivo protocol, the oral absorbability of the test compouds will be determined using mice or rats. However, no resultant data are given (test example 4, page 145 and 146). Also, in another in vivo test, MK801-induced hyperkinetic Wistar male rats were treated with the test compounds (3 or 10 mg/kg). (I) showed an inhibitory effect between 40000 and 60000 (test example 8, pages 148 and 149; figures 1 and 2). Also, in an in vitro test, compounds were incubated with Jump-In HEK cell membrane (expressing human recombinant 5-HT2A receptor). Several compounds, including (I) showed a Ki value of less than 10 nM (test example 1, pages 134-138; table 35).",,"Several compounds are specifically claimed, eg compound I-016 (I) (example 1, page 83; claim 14, page 156). Ten compounds are ecluded from the main claim (claim 1, page 154). A Markush structure is presented (claim 1, page 150).",2022-07-07,JP2020218179,2020-12-28,2022-07-21,,
WO-2022146914,Cromolyn derivatives and uses thereof,"Use of new and known cromolyn derivatives are beta amyloid 42 modulators - for treating, eg Alzheimer's disease, infection and atherosclerosis.","The use of new and known cromolyn derivatives for treating and for imaging Alzheimer's disease, Huntington's disease, Parkinson's disease, amyotrophic lateral sclerosis, stroke, a head injury, a traumatic brain injury, dementia, an infection and atherosclerosis. Compositions comprising the compounds are also claimed. The compounds are disclosed to act as beta amyloid 42 modulators.",No specific advantage is given.,"An in vitro test was performed to determine whether cromolyn derivatives impact A?42 uptake and clearance in BV2-CD33WT cells at different concentrations ranging between 5 and 150 ?M. Grpahical results showed that (I) had a positive impact of microglial uptake of AP42 in BV2-CD33 activated microglial cells at 100 ?M (example 3, pages 31 and 32; table 2).",,"Eight compounds are specifically claimed, including compound C7 (Ac-triol-cromolyn) (I) (table 2, page 32; claim 18, page 37).",2022-07-07,US2020131135,2020-12-28,2022-07-22,,
WO-2022145707,Piperlongumine-based compound and immunomodulator comprsing same,"Novel piperongumin derivatives are immunomodulators - useful for treating diseases eg cancers, arthritis, atrophy and dementia.","Novel piperongumin derivatives, their salts and solvates, compositions comprising them and their use as immunomodulatory agents for suppressing an immune response, are claimed. The compounds are disclosed to be inhibitors of inflammatory cytokines like IFN?, STAT3, STAT6, IL-2, IL-4, NF-?B and RIG1, useful for treating diseases eg cancers, arthritis, atrophy and dementia.","The compounds ehibit excellent antioxidant activity, cytokine production inhibitory ability and/or intracytoplasmic signal transduction inhibitory ability targeting immune cells.","In an in vitro test, the ability of the piperongumin compounds to inhibit nitric oxide (NO) production was evaluated by incubating them with Raw264.7 cells. The results showed that several compounds, including (I), exhibited significantly superior NO production inhibitory activity (experimental example 1, page 43; figure 1).",,"Several compounds are specifically claimed, eg (E)-methyl 5-(3-(3-chloro-2-oxo-5,6-dihydropyridine-1(2H)-yl)-3-oxoprop-1-en-1-yl)-2-methoxybenzoate (compound 3; I) (page 20; claim 4, page 52). A Markush structure is presented (claim 1, page 48). Sequences provided in source document.",2022-07-01,KR2020185404,2020-12-29,2022-07-25,,
