source_id,name
source_copy_of_cns_patents_20231217-20231223_xlsx,Copy of CNS patents 20231217-20231223.xlsx
source_copy_of_cns_patents_20231224-20231230_xlsx,Copy of CNS patents 20231224-20231230.xlsx
source_copy_of_cns_patents_20231231-20240113_xlsx,Copy of CNS patents 20231231-20240113.xlsx
source_copy_of_cns_patents_20240114-20240120_xlsx,Copy of CNS patents 20240114-20240120.xlsx
source_copy_of_cns_patents_20240121-20240127_xlsx,Copy of CNS patents 20240121-20240127.xlsx
source_copy_of_cns_patents_20240128-20240203_xlsx,Copy of CNS patents 20240128-20240203.xlsx
source_copy_of_cns_patents_202401811-20240824_xlsx,Copy of CNS patents 202401811-20240824.xlsx
source_copy_of_cns_patents_202401825-20240907_xlsx,Copy of CNS patents 202401825-20240907.xlsx
source_copy_of_cns_patents_20240204-20240217_xlsx,Copy of CNS patents 20240204-20240217.xlsx
source_copy_of_cns_patents_20240218-20240224_xlsx,Copy of CNS patents 20240218-20240224.xlsx
source_copy_of_cns_patents_20240225-20240302_xlsx,Copy of CNS patents 20240225-20240302.xlsx
source_copy_of_cns_patents_20240303-20240309_xlsx,Copy of CNS patents 20240303-20240309.xlsx
source_copy_of_cns_patents_20240303-20240309_02_xlsx,Copy of CNS patents 20240303-20240309_02.xlsx
source_copy_of_cns_patents_20240310-20240316_xlsx,Copy of CNS patents 20240310-20240316.xlsx
source_copy_of_cns_patents_20240317-20240323_xlsx,Copy of CNS patents 20240317-20240323.xlsx
source_copy_of_cns_patents_20240407-20240420_xlsx,Copy of CNS patents 20240407-20240420.xlsx
source_copy_of_cns_patents_20240421-20240427_xlsx,Copy of CNS patents 20240421-20240427.xlsx
source_copy_of_cns_patents_20240428-20240504_xlsx,Copy of CNS patents 20240428-20240504.xlsx
source_copy_of_cns_patents_20240505-20240518_xlsx,Copy of CNS patents 20240505-20240518.xlsx
source_copy_of_cns_patents_20240519-20240525_xlsx,Copy of CNS patents 20240519-20240525.xlsx
source_copy_of_cns_patents_20240526-20240601_xlsx,Copy of CNS patents 20240526-20240601.xlsx
source_copy_of_cns_patents_20240602-20240608_xlsx,Copy of CNS patents 20240602-20240608.xlsx
source_copy_of_cns_patents_20240609-20240615_xlsx,Copy of CNS patents 20240609-20240615.xlsx
source_copy_of_cns_patents_20240616-20240622_xlsx,Copy of CNS patents 20240616-20240622.xlsx
source_copy_of_cns_patents_20240623-20240706_xlsx,Copy of CNS patents 20240623-20240706.xlsx
source_copy_of_cns_patents_20240707-20240713_xlsx,Copy of CNS patents 20240707-20240713.xlsx
source_copy_of_cns_patents_20240714-20240727_xlsx,Copy of CNS patents 20240714-20240727.xlsx
source_copy_of_cns_patents_20240728-20240810_xlsx,Copy of CNS patents 20240728-20240810.xlsx
source_copy_of_cns_patents_20240908-20240914_xlsx,Copy of CNS patents 20240908-20240914.xlsx
source_copy_of_cns_patents_20240922-20240928_xlsx,Copy of CNS patents 20240922-20240928.xlsx
source_copy_of_cns_patents_20240929-20241012_xlsx,Copy of CNS patents 20240929-20241012.xlsx
source_copy_of_cns_patents_20241013-20241019_xlsx,Copy of CNS patents 20241013-20241019.xlsx
source_copy_of_cns_patents_20241020-20241026_xlsx,Copy of CNS patents 20241020-20241026.xlsx
source_copy_of_cns_patents_20241027-20241109_xlsx,Copy of CNS patents 20241027-20241109.xlsx
source_copy_of_cns_patents_20241110-20241116_xlsx,Copy of CNS patents 20241110-20241116.xlsx
source_copy_of_cns_patents_20241208-20241214_xlsx,Copy of CNS patents 20241208-20241214.xlsx
source_copy_of_cns_patents_20241215-20241228_xlsx,Copy of CNS patents 20241215-20241228.xlsx
source_copy_of_cns_patents_20241229-20250104_xlsx,Copy of CNS patents 20241229-20250104.xlsx
source_copy_of_cns_patents_20250105-20250111_xlsx,Copy of CNS patents 20250105-20250111.xlsx
source_copy_of_cns_patents_20250112-20250125_xlsx,Copy of CNS patents 20250112-20250125.xlsx
source_copy_of_cns_patents_20250126-20250201_xlsx,Copy of CNS patents 20250126-20250201.xlsx
source_copy_of_cns_patents_20250202-20250208_xlsx,Copy of CNS patents 20250202-20250208.xlsx
source_copy_of_cns_patents_20250216-20250222_xlsx,Copy of CNS patents 20250216-20250222.xlsx
source_copy_of_cns_patents_20250223-20250301_xlsx,Copy of CNS patents 20250223-20250301.xlsx
source_copy_of_cns_patents_20250302-20250308_xlsx,Copy of CNS patents 20250302-20250308.xlsx
source_copy_of_cns_patents_20250309-20250322_xlsx,Copy of CNS patents 20250309-20250322.xlsx
source_copy_of_cns_patents_20250323-20250329_xlsx,Copy of CNS patents 20250323-20250329.xlsx
source_copy_of_cns_patents_20250330-20250412_xlsx,Copy of CNS patents 20250330-20250412.xlsx
source_copy_of_cns_patents_20250413-20250503_xlsx,Copy of CNS patents 20250413-20250503.xlsx
source_copy_of_cns_patents_20250504-20250510_xlsx,Copy of CNS patents 20250504-20250510.xlsx
source_copy_of_cns_patents_20250511-20250517_xlsx,Copy of CNS patents 20250511-20250517.xlsx
source_copy_of_cns_patents_20250518-20250524_xlsx,Copy of CNS patents 20250518-20250524.xlsx
source_copy_of_cns_patents_20250525-20250607_xlsx,Copy of CNS patents 20250525-20250607.xlsx
source_copy_of_cns_patents_20250608-20250621_xlsx,Copy of CNS patents 20250608-20250621.xlsx
source_copy_of_cns_patents_20250622-20250628_xlsx,Copy of CNS patents 20250622-20250628.xlsx
source_copy_of_cns_patents_20250629-20250705_xlsx,Copy of CNS patents 20250629-20250705.xlsx
source_copy_of_cns_patents_20250706-20250719_xlsx,Copy of CNS patents 20250706-20250719.xlsx
source_copy_of_cns_patents_20250720-20250726_xlsx,Copy of CNS patents 20250720-20250726.xlsx
source_copy_of_cns_patents_20250727-20250802_xlsx,Copy of CNS patents 20250727-20250802.xlsx
source_copy_of_cns_patents_20250803-20250809_xlsx,Copy of CNS patents 20250803-20250809.xlsx
source_copy_of_cns_patents_20250810-20250823_xlsx,Copy of CNS patents 20250810-20250823.xlsx
source_copy_of_cns_patents_20250824-20250913_xlsx,Copy of CNS patents 20250824-20250913.xlsx
source_copy_of_cns_patents_20250914-20250920_xlsx,Copy of CNS patents 20250914-20250920.xlsx
source_copy_of_cns_patents_20250921-20251004_xlsx,Copy of CNS patents 20250921-20251004.xlsx
source_copy_of_cns_patents_20251012-20251018_xlsx,Copy of CNS patents 20251012-20251018.xlsx
source_copy_of_cns_patents_20251019-20251025_xlsx,Copy of CNS patents 20251019-20251025.xlsx
source_copy_of_cns_patents_20251102-20251108_xlsx,Copy of CNS patents 20251102-20251108.xlsx
source_copy_of_cns_patents_20251109-20251115_xlsx,Copy of CNS patents 20251109-20251115.xlsx
source_copy_of_cns_patents_20251116-20251122_xlsx,Copy of CNS patents 20251116-20251122.xlsx
source_copy_of_cns_patents_20251123-20251206_xlsx,Copy of CNS patents 20251123-20251206.xlsx
source_copy_of_cns_patents_20251207-20251213_xlsx,Copy of CNS patents 20251207-20251213.xlsx
source_copy_of_cns_patents_20251214-20260103_xlsx,Copy of CNS patents 20251214-20260103.xlsx
source_copy_of_cns_patents_20260104-20260110_xlsx,Copy of CNS patents 20260104-20260110.xlsx
source_copy_of_cns_patents_20260111-20260124_xlsx,Copy of CNS patents 20260111-20260124.xlsx
source_copy_of_cns_patents_20260125-20260131_xlsx,Copy of CNS patents 20260125-20260131.xlsx
source_copy_of_cns_patents_20260201-20260207_xlsx,Copy of CNS patents 20260201-20260207.xlsx
source_copy_of_cns_patents_20260222-20260307_xlsx,Copy of CNS patents 20260222-20260307.xlsx
source_copy_of_cns_patents_20260308-20260314_xlsx,Copy of CNS patents 20260308-20260314.xlsx
source_copy_of_cns_patents_20260315-20260321_xlsx,Copy of CNS patents 20260315-20260321.xlsx
source_copy_of_cns_patents_20260322-20260404_xlsx,Copy of CNS patents 20260322-20260404.xlsx
source_copy_of_cns_patents_20260405-20260411_xlsx,Copy of CNS patents 20260405-20260411.xlsx
source_copy_of_cns_patents_20260419-20260425_xlsx,Copy of CNS patents 20260419-20260425.xlsx
source_copy_of_cns_patents_20260426-20260509_xlsx,Copy of CNS patents 20260426-20260509.xlsx
