mechanism_id,name,action_type,target_id
mechanism_map3k12_binding_inhibitory_protein_inhibitor,MAP3K12 binding inhibitory protein inhibitor,inhibitor,target_map3k12_binding_inhibitory_protein
mechanism_dual_leucine_zipper_kinase_inhibitor_inhibitor,Dual leucine zipper kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_dual_leucine_zipper
mechanism_protein_arginine_n-methyltransferase_1_stimulator,Protein arginine N-methyltransferase 1 stimulator,stimulator,target_protein_arginine_n-methyltransferase_1
mechanism_superoxide_dismutase_mn_inhibitor,Superoxide dismutase Mn inhibitor,inhibitor,target_superoxide_dismutase_mn
mechanism_cxc10_chemokine_ligand_inhibitor_inhibitor,CXC10 chemokine ligand inhibitor;inhibitor,ligand inhibitor;inhibitor,target_cxc10_chemokine
mechanism_growth_regulated_protein_alpha_ligand_inhibitor_inhibitor,Growth regulated protein alpha ligand inhibitor;inhibitor,ligand inhibitor;inhibitor,target_growth_regulated_protein_alpha
mechanism_prmt1_gene_stimulator,PRMT1 gene stimulator,stimulator,target_prmt1_gene
mechanism_superoxide_dismutase_cu-zn_inhibitor,Superoxide dismutase (Cu-Zn) inhibitor,inhibitor,target_superoxide_dismutase_cu-zn
mechanism_monocyte_chemotactic_protein_1_ligand_inhibitor_inhibitor,Monocyte chemotactic protein 1 ligand inhibitor;inhibitor,ligand inhibitor;inhibitor,target_monocyte_chemotactic_protein_1
mechanism_glutathione_peroxidase_1_inhibitor,Glutathione peroxidase 1 inhibitor,inhibitor,target_glutathione_peroxidase_1
mechanism_gaba_a_receptor_alpha-3_subunit_stimulator,GABA A receptor alpha-3 subunit stimulator,stimulator,target_gaba_a_receptor_alpha-3_subunit
mechanism_gaba_a_receptor_alpha-2_subunit_stimulator,GABA A receptor alpha-2 subunit stimulator,stimulator,target_gaba_a_receptor_alpha-2_subunit
mechanism_nad-dependent_deacetylase_sirtuin-1_stimulator,NAD-dependent deacetylase sirtuin-1 stimulator,stimulator,target_nad-dependent_deacetylase_sirtuin-1
mechanism_protein_arginine_n-methyltransferase_8_inhibitor,Protein arginine N-methyltransferase 8 inhibitor,inhibitor,target_protein_arginine_n-methyltransferase_8
mechanism_dopamine_d1_receptor_agonist_agonist,Dopamine D1 receptor agonist;agonist,receptor agonist;agonist,target_dopamine_d1
mechanism_mucolipin_1_stimulator,Mucolipin 1 stimulator,stimulator,target_mucolipin_1
mechanism_amp_activated_protein_kinase_alpha_2_stimulator,AMP activated protein kinase alpha 2 stimulator,stimulator,target_amp_activated_protein_kinase_alpha_2
mechanism_quinone_reductase-1_stimulator,Quinone reductase-1 stimulator,stimulator,target_quinone_reductase-1
mechanism_opioid_receptor_mu_agonist,Opioid receptor mu agonist,agonist,target_opioid_receptor_mu
mechanism_enolase_1_modulator,Enolase 1 modulator,modulator,target_enolase_1
mechanism_arid1b_gene_modulator_modulator,ARID1B gene modulator;modulator,gene modulator;modulator,target_arid1b
mechanism_pten_gene_modulator_modulator,PTEN gene modulator;modulator,gene modulator;modulator,target_pten
mechanism_chd8_gene_modulator_modulator,CHD8 gene modulator;modulator,gene modulator;modulator,target_chd8
mechanism_suv420h1_gene_modulator_modulator,SUV420H1 gene modulator;modulator,gene modulator;modulator,target_suv420h1
mechanism_macrophage_migration_inhibitory_factor_inhibitor,Macrophage migration inhibitory factor inhibitor,inhibitor,target_macrophage_migration_inhibitory_factor
mechanism_nuclear_receptor_1d1_agonist,Nuclear receptor 1D1 agonist,agonist,target_nuclear_receptor_1d1
mechanism_nuclear_receptor_1d2_agonist,Nuclear receptor 1D2 agonist,agonist,target_nuclear_receptor_1d2
mechanism_aldehyde_dehydrogenase_2_stimulator,Aldehyde dehydrogenase 2 stimulator,stimulator,target_aldehyde_dehydrogenase_2
mechanism_chmp_gene_inhibitor,CHMP gene inhibitor,inhibitor,target_chmp_gene
mechanism_hemoglobin_scavenger_receptor_modulator,Hemoglobin scavenger receptor modulator,modulator,target_hemoglobin_scavenger_receptor
mechanism_calcium_channel_t-type_inhibitor,Calcium channel T-type inhibitor,inhibitor,target_calcium_channel_t-type
mechanism_indoleamine_pyrrole_2_3-dioxygenase_1_inhibitor,Indoleamine pyrrole 2 3-dioxygenase 1 inhibitor,inhibitor,target_indoleamine_pyrrole_2_3-dioxygenase_1
mechanism_opioid_receptor_delta_modulator,Opioid receptor delta modulator,modulator,target_opioid_receptor_delta
mechanism_ryanodine_receptor_modulator,Ryanodine receptor modulator,modulator,target_ryanodine_receptor
mechanism_fk506_binding_protein-12_modulator,FK506 binding protein-12 modulator,modulator,target_fk506_binding_protein-12
mechanism_scn5a_sodium_channel_subunit_inhibitor,SCN5A sodium channel subunit inhibitor,inhibitor,target_scn5a_sodium_channel_subunit
mechanism_scn11a_sodium_channel_subunit_inhibitor,SCN11A sodium channel subunit inhibitor,inhibitor,target_scn11a_sodium_channel_subunit
mechanism_scn8a_sodium_channel_subunit_inhibitor,SCN8A sodium channel subunit inhibitor,inhibitor,target_scn8a_sodium_channel_subunit
mechanism_scn1a_sodium_channel_subunit_inhibitor,SCN1A sodium channel subunit inhibitor,inhibitor,target_scn1a_sodium_channel_subunit
mechanism_scn2a_sodium_channel_subunit_inhibitor,SCN2A sodium channel subunit inhibitor,inhibitor,target_scn2a_sodium_channel_subunit
mechanism_scn3a_sodium_channel_subunit_inhibitor,SCN3A sodium channel subunit inhibitor,inhibitor,target_scn3a_sodium_channel_subunit
mechanism_scn10a_inhibitor,SCN10A inhibitor,inhibitor,target_scn10a
mechanism_scn9a_sodium_channel_subunit_inhibitor,SCN9A sodium channel subunit inhibitor,inhibitor,target_scn9a_sodium_channel_subunit
mechanism_scn4a_sodium_channel_subunit_inhibitor,SCN4A sodium channel subunit inhibitor,inhibitor,target_scn4a_sodium_channel_subunit
mechanism_o-glcnac_transferase_subunit_p110_inhibitor,O-GlcNAc transferase subunit p110 inhibitor,inhibitor,target_o-glcnac_transferase_subunit_p110
mechanism_cyclin-dependent_kinase-7_inhibitor,Cyclin-dependent kinase-7 inhibitor,inhibitor,target_cyclin-dependent_kinase-7
mechanism_aurora_protein_kinase_2_inhibitor,Aurora protein kinase 2 inhibitor,inhibitor,target_aurora_protein_kinase_2
mechanism_mekkk-1_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,MEKKK-1 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_mekkk-1
mechanism_ubiquitin_modulator,Ubiquitin modulator,modulator,target_ubiquitin
mechanism_cnr2_modulator,CNR2 modulator,modulator,target_cnr2
mechanism_cnr1_modulator,CNR1 modulator,modulator,target_cnr1
mechanism_beta_amyloid_synthesis_inhibitor,Beta amyloid synthesis inhibitor,inhibitor,target_beta_amyloid_synthesis
mechanism_glycine_transporter-1_inhibitor,Glycine transporter-1 inhibitor,inhibitor,target_glycine_transporter-1
mechanism_app_gene_modulator_modulator,APP gene modulator;modulator,gene modulator;modulator,target_app
mechanism_lrrk2_gene_modulator_modulator,LRRK2 gene modulator;modulator,gene modulator;modulator,target_lrrk2
mechanism_abca4_gene_modulator_modulator,ABCA4 gene modulator;modulator,gene modulator;modulator,target_abca4
mechanism_hexa_gene_modulator_modulator,HEXA gene modulator;modulator,gene modulator;modulator,target_hexa
mechanism_serpina1_gene_modulator_modulator,SERPINA1 gene modulator;modulator,gene modulator;modulator,target_serpina1
mechanism_aimp_multisynthetase_complex_protein_2_modulator,AIMP multisynthetase complex protein 2 modulator,modulator,target_aimp_multisynthetase_complex_protein_2
mechanism_5-ht_3_receptor_agonist_agonist,5-HT 3 receptor agonist;agonist,receptor agonist;agonist,target_5-ht_3
mechanism_sphingosine-1-phosphate_receptor-5_agonist,Sphingosine-1-phosphate receptor-5 agonist,agonist,target_sphingosine-1-phosphate_receptor-5
mechanism_cytochrome_p450_46a1_inhibitor,Cytochrome P450 46A1 inhibitor,inhibitor,target_cytochrome_p450_46a1
mechanism_metalloproteinase_-4_inhibitor_modulator,Metalloproteinase -4 inhibitor;modulator,inhibitor;modulator,target_metalloproteinase_-4
mechanism_group_10_secretory_phospholipase_a2_modulator,Group 10 secretory phospholipase A2 modulator,modulator,target_group_10_secretory_phospholipase_a2
mechanism_igf_binding_protein-1_modulator,IGF binding protein-1 modulator,modulator,target_igf_binding_protein-1
mechanism_fgf-19_ligand_modulator_modulator,FGF-19 ligand modulator;modulator,ligand modulator;modulator,target_fgf-19
mechanism_enteropeptidase_modulator,Enteropeptidase modulator,modulator,target_enteropeptidase
mechanism_neurofilament_light_polypeptide_modulator,Neurofilament light polypeptide modulator,modulator,target_neurofilament_light_polypeptide
mechanism_carboxypeptidase_a2_modulator,Carboxypeptidase A2 modulator,modulator,target_carboxypeptidase_a2
mechanism_metabotropic_glutamate_receptor_3_antagonist_agonist,Metabotropic glutamate receptor 3 antagonist;agonist,antagonist;agonist,target_metabotropic_glutamate_receptor_3
mechanism_metabotropic_glutamate_receptor_2_antagonist_agonist,Metabotropic glutamate receptor 2 antagonist;agonist,antagonist;agonist,target_metabotropic_glutamate_receptor_2
mechanism_vasopressin_v2_receptor_antagonist_antagonist_agonist,Vasopressin V2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_vasopressin_v2
mechanism_5-ht_3_receptor_antagonist_antagonist_agonist,5-HT 3 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_5-ht_3
mechanism_5-ht_3_receptor_partial_agonist_agonist,5-HT 3 receptor partial agonist;agonist,partial agonist;agonist,target_5-ht_3_receptor
mechanism_glycogen_synthase_kinase-3_alpha_inhibitor,Glycogen synthase kinase-3 alpha inhibitor,inhibitor,target_glycogen_synthase_kinase-3_alpha
mechanism_granulin_1_ligand_modulator_modulator,Granulin 1 ligand modulator;modulator,ligand modulator;modulator,target_granulin_1
mechanism_inositol_hexakisphosphate_kinase_inhibitor_inhibitor,Inositol hexakisphosphate kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_inositol_hexakisphosphate
mechanism_orphan_nuclear_receptor_nr2e1_modulator,Orphan nuclear receptor NR2E1 modulator,modulator,target_orphan_nuclear_receptor_nr2e1
mechanism_sphingosine-1-phosphate_receptor-5_modulator,Sphingosine-1-phosphate receptor-5 modulator,modulator,target_sphingosine-1-phosphate_receptor-5
mechanism_ampa_receptor_modulator,AMPA receptor modulator,modulator,target_ampa_receptor
mechanism_homeobox_prospero-like_protein_prox1_modulator,Homeobox prospero-like protein PROX1 modulator,modulator,target_homeobox_prospero-like_protein_prox1
mechanism_microtubule_associated_protein_2_modulator,Microtubule associated protein 2 modulator,modulator,target_microtubule_associated_protein_2
mechanism_adenylate_cyclase_inhibitor,Adenylate cyclase inhibitor,inhibitor,target_adenylate_cyclase
mechanism_cyclic_gmp_phosphodiesterase_inhibitor,Cyclic GMP phosphodiesterase inhibitor,inhibitor,target_cyclic_gmp_phosphodiesterase
mechanism_cannabinoid_cb2_receptor_antagonist_antagonist_agonist,Cannabinoid CB2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_cannabinoid_cb2
mechanism_htr2c_receptor_agonist_agonist,5-HT2C receptor receptor agonist;agonist,receptor agonist;agonist,target_htr2c
mechanism_nad_kinase_modulator,NAD kinase modulator,modulator,target_nad_kinase
mechanism_eukaryotic_initiation_factor_2_beta_modulator,Eukaryotic initiation factor 2 beta modulator,modulator,target_eukaryotic_initiation_factor_2_beta
mechanism_of_interferon_genes_protein_inhibitor_stimulator,of interferon genes protein inhibitor;stimulator,inhibitor;stimulator,target_of_interferon_genes_protein
mechanism_mek_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,MEK protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_mek
mechanism_cgmp_dependent_protein_kinase_1_inhibitor,cGMP dependent protein kinase 1 inhibitor,inhibitor,target_cgmp_dependent_protein_kinase_1
mechanism_fgf4_receptor_antagonist_antagonist_agonist,FGF4 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_fgf4
mechanism_coup_transcription_factor_1_inhibitor,COUP transcription factor 1 inhibitor,inhibitor,target_coup_transcription_factor_1
mechanism_polo-like_kinase_3_inhibitor,Polo-like kinase 3 inhibitor,inhibitor,target_polo-like_kinase_3
mechanism_mekkk-6_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,MEKKK-6 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_mekkk-6
mechanism_presenilin_1_modulator,Presenilin 1 modulator,modulator,target_presenilin_1
mechanism_tnfrsf13b_gene_modulator_modulator,TNFRSF13B gene modulator;modulator,gene modulator;modulator,target_tnfrsf13b
mechanism_tumor_necrosis_factor_13b_receptor_antagonist_antagonist_agonist,Tumor necrosis factor 13B receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_tumor_necrosis_factor_13b
mechanism_gaba_a_receptor_antagonist_antagonist_agonist,GABA A receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_gaba_a
mechanism_nmda_glycine_modulator,NMDA glycine modulator,modulator,target_nmda_glycine
mechanism_casein_kinase-i_delta_inhibitor,Casein kinase-I delta inhibitor,inhibitor,target_casein_kinase-i_delta
mechanism_casein_kinase-i_alpha_inhibitor,Casein kinase-I alpha inhibitor,inhibitor,target_casein_kinase-i_alpha
mechanism_casein_kinase-i_epsilon_inhibitor,Casein kinase-I epsilon inhibitor,inhibitor,target_casein_kinase-i_epsilon
mechanism_glycogen_synthase_kinase-3_inhibitor,Glycogen synthase kinase-3 inhibitor,inhibitor,target_glycogen_synthase_kinase-3
mechanism_mapt_kinase_inhibitor_inhibitor,Tau protein kinase inhibitor;inhibitor,kinase inhibitor;inhibitor,target_mapt
mechanism_gamma-secretase_modulator,Gamma-secretase modulator,modulator,target_gamma-secretase
mechanism_hcrtr2_receptor_antagonist_antagonist_agonist,HCRTR2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_hcrtr2
mechanism_cox6c_gene_modulator_modulator,COX6C gene modulator;modulator,gene modulator;modulator,target_cox6c
mechanism_eukaryotic_initiation_factor_4a_inhibitor,Eukaryotic initiation factor 4A inhibitor,inhibitor,target_eukaryotic_initiation_factor_4a
mechanism_histone_deacetylase-9_inhibitor,Histone deacetylase-9 inhibitor,inhibitor,target_histone_deacetylase-9
mechanism_htr1a_partial_agonist_agonist,5-HT1A receptor partial agonist;agonist,partial agonist;agonist,target_htr1a
mechanism_drd2_partial_agonist_agonist,DRD2 partial agonist;agonist,partial agonist;agonist,target_drd2
mechanism_stellate_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,Stellate protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_stellate
mechanism_tgf-beta_type_ii_receptor_antagonist_antagonist_agonist,TGF-beta type II receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_tgf-beta_type_ii
mechanism_pannexin_1_inhibitor,Pannexin 1 inhibitor,inhibitor,target_pannexin_1
mechanism_stromal_interaction_molecule_modulator,Stromal interaction molecule modulator,modulator,target_stromal_interaction_molecule
mechanism_phosphatidylinositol_4_kinase_alpha_inhibitor,Phosphatidylinositol 4 kinase alpha inhibitor,inhibitor,target_phosphatidylinositol_4_kinase_alpha
mechanism_5-ht_1f_receptor_agonist_agonist,5-HT 1f receptor agonist;agonist,receptor agonist;agonist,target_5-ht_1f
mechanism_histone_lysine_methyltransferase_2a_modulator,Histone lysine methyltransferase 2A modulator,modulator,target_histone_lysine_methyltransferase_2a
mechanism_nestin_modulator,Nestin modulator,modulator,target_nestin
mechanism_kmt2a_gene_modulator_modulator,KMT2A gene modulator;modulator,gene modulator;modulator,target_kmt2a
mechanism_myeloid_lymphoid_leukemia_protein_3_modulator,Myeloid lymphoid leukemia protein 3 modulator,modulator,target_myeloid_lymphoid_leukemia_protein_3
mechanism_glial_fibrillary_acidic_protein_modulator_modulator,Glial fibrillary acidic protein modulator;modulator,protein modulator;modulator,target_glial_fibrillary_acidic
mechanism_mll3_gene_modulator_modulator,MLL3 gene modulator;modulator,gene modulator;modulator,target_mll3
mechanism_stat-6_inhibitor,STAT-6 inhibitor,inhibitor,target_stat-6
mechanism_cytokine_receptor_antagonist_antagonist_agonist,Cytokine receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_cytokine
mechanism_transcription_factor_p65_inhibitor,Transcription factor p65 inhibitor,inhibitor,target_transcription_factor_p65
mechanism_stat-3_inhibitor,STAT-3 inhibitor,inhibitor,target_stat-3
mechanism_il-4_receptor_antagonist_antagonist_agonist,IL-4 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_il-4
mechanism_cd95_antagonist_agonist,CD95 antagonist;agonist,antagonist;agonist,target_cd95
mechanism_il-2_receptor_antagonist_antagonist_agonist,IL-2 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_il-2
mechanism_lrig_gene_inhibitor,LRIG gene inhibitor,inhibitor,target_lrig_gene
mechanism_nicotinic_acetylcholine_receptor_modulator,Nicotinic acetylcholine receptor modulator,modulator,target_nicotinic_acetylcholine_receptor
mechanism_nad_synthase_stimulator,NAD synthase stimulator,stimulator,target_nad_synthase
mechanism_ubiquitin_thioesterase-13_inhibitor,Ubiquitin thioesterase-13 inhibitor,inhibitor,target_ubiquitin_thioesterase-13
mechanism_dopamine_d4_receptor_antagonist_antagonist_agonist,Dopamine D4 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_dopamine_d4
mechanism_opioid_receptor_modulator,Opioid receptor modulator,modulator,target_opioid_receptor
mechanism_htr7_receptor_agonist_agonist,HTR7 receptor agonist;agonist,receptor agonist;agonist,target_htr7
mechanism_htr2b_receptor_agonist_agonist,HTR2B receptor agonist;agonist,receptor agonist;agonist,target_htr2b
mechanism_slc12a5_gene_modulator_modulator,SLC12A5 gene modulator;modulator,gene modulator;modulator,target_slc12a5
mechanism_synaptophysin_modulator,Synaptophysin modulator,modulator,target_synaptophysin
mechanism_orexin_1_receptor_antagonist_antagonist_agonist,Orexin 1 receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_orexin_1
mechanism_sarm1_gene_modulator_modulator,SARM1 gene modulator;modulator,gene modulator;modulator,target_sarm1
mechanism_cyclin-dependent_kinase-2_inhibitor,Cyclin-dependent kinase-2 inhibitor,inhibitor,target_cyclin-dependent_kinase-2
mechanism_nicotinamide_phosphoribosyltransferase_stimulator,Nicotinamide phosphoribosyltransferase stimulator,stimulator,target_nicotinamide_phosphoribosyltransferase
mechanism_smad-2_inhibitor,SMAD-2 inhibitor,inhibitor,target_smad-2
mechanism_smad-3_inhibitor,SMAD-3 inhibitor,inhibitor,target_smad-3
mechanism_p2x2_purinoceptor_antagonist_agonist,P2X2 purinoceptor antagonist;agonist,antagonist;agonist,target_p2x2_purinoceptor
mechanism_p2x3_purinoceptor_antagonist_agonist,P2X3 purinoceptor antagonist;agonist,antagonist;agonist,target_p2x3_purinoceptor
mechanism_drd2_receptor_agonist_agonist,DRD2 receptor agonist;agonist,receptor agonist;agonist,target_drd2
mechanism_nad_kinase_stimulator,NAD kinase stimulator,stimulator,target_nad_kinase
mechanism_huntingtin_inhibitor,Huntingtin inhibitor,inhibitor,target_huntingtin
mechanism_puromycin_sensitive_aminopeptidase_inhibitor,Puromycin sensitive aminopeptidase inhibitor,inhibitor,target_puromycin_sensitive_aminopeptidase
mechanism_ataxin_3_inhibitor,Ataxin 3 inhibitor,inhibitor,target_ataxin_3
mechanism_il1b_ligand_modulator_modulator,IL1B ligand modulator;modulator,ligand modulator;modulator,target_il1b
mechanism_cxc10_chemokine_ligand_modulator_modulator,CXC10 chemokine ligand modulator;modulator,ligand modulator;modulator,target_cxc10_chemokine
mechanism_gm-csf_ligand_unspecified,GM-CSF ligand unspecified,unspecified,target_gm-csf_ligand
mechanism_mip_1_alpha_ligand_modulator_modulator,MIP 1 alpha ligand modulator;modulator,ligand modulator;modulator,target_mip_1_alpha
mechanism_interleukin_1_like_receptor_modulator,Interleukin 1 like receptor modulator,modulator,target_interleukin_1_like_receptor
mechanism_mip_1_beta_ligand_modulator_modulator,MIP 1 beta ligand modulator;modulator,ligand modulator;modulator,target_mip_1_beta
mechanism_opioid_receptor_delta_agonist,Opioid receptor delta agonist,agonist,target_opioid_receptor_delta
mechanism_opioid_receptor_kappa_agonist,Opioid receptor kappa agonist,agonist,target_opioid_receptor_kappa
mechanism_heme_oxygenase_1_stimulator,Heme oxygenase 1 stimulator,stimulator,target_heme_oxygenase_1
mechanism_nuclear_erythroid_2-related_factor_2_stimulator,Nuclear erythroid 2-related factor 2 stimulator,stimulator,target_nuclear_erythroid_2-related_factor_2
mechanism_adenosine_a2a_receptor_antagonist_antagonist_agonist,Adenosine A2a receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_adenosine_a2a
mechanism_mtor_complex_1_inhibitor,mTOR complex 1 inhibitor,inhibitor,target_mtor_complex_1
mechanism_mtor_complex_2_inhibitor,mTOR complex 2 inhibitor,inhibitor,target_mtor_complex_2
mechanism_autophagy_protein_stimulator,Autophagy protein stimulator,stimulator,target_autophagy_protein
mechanism_fgf-2_ligand_modulator_modulator,FGF-2 ligand modulator;modulator,ligand modulator;modulator,target_fgf-2
mechanism_fgf1_receptor_modulator,FGF1 receptor modulator,modulator,target_fgf1_receptor
mechanism_serotonin_transporter_inhibitor,Serotonin transporter inhibitor,inhibitor,target_serotonin_transporter
mechanism_vimentin_modulator,Vimentin modulator,modulator,target_vimentin
mechanism_g_protein_coupled_receptor_17_modulator,G protein coupled receptor 17 modulator,modulator,target_g_protein_coupled_receptor_17
mechanism_tar_dna_binding_protein_43_stimulator,TAR DNA binding protein 43 stimulator,stimulator,target_tar_dna_binding_protein_43
mechanism_ubiquitin_thioesterase-30_inhibitor,Ubiquitin thioesterase-30 inhibitor,inhibitor,target_ubiquitin_thioesterase-30
mechanism_factor_vii_modulator,Factor VII modulator,modulator,target_factor_vii
mechanism_fabp3_gene_modulator_modulator,FABP3 gene modulator;modulator,gene modulator;modulator,target_fabp3
mechanism_myelin_basic_protein_modulator_modulator,Myelin basic protein modulator;modulator,protein modulator;modulator,target_myelin_basic
mechanism_g-protein_coupled_receptor_120_agonist,G-protein coupled receptor 120 agonist,agonist,target_g-protein_coupled_receptor_120
mechanism_tar_dna_binding_protein_43_modulator,TAR DNA binding protein 43 modulator,modulator,target_tar_dna_binding_protein_43
mechanism_nicotinic_ach_receptor_alpha_7_subunit_modulator,Nicotinic ACh receptor alpha 7 subunit modulator,modulator,target_nicotinic_ach_receptor_alpha_7_subunit
mechanism_trp_cation_channel_m2_inhibitor,TRP cation channel M2 inhibitor,inhibitor,target_trp_cation_channel_m2
mechanism_akt3_protein_kinase_inhibitor_kinase_inhibitor_inhibitor,AKT3 protein kinase inhibitor;kinase inhibitor;inhibitor,protein kinase inhibitor;kinase inhibitor;inhibitor,target_akt3
mechanism_nlr_family_card_domain_protein_4_inhibitor,NLR family CARD domain protein 4 inhibitor,inhibitor,target_nlr_family_card_domain_protein_4
mechanism_interferon_gamma_receptor_antagonist_antagonist_agonist,Interferon gamma receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_interferon_gamma
mechanism_ephb3_tyrosine_kinase_receptor_inhibitor,Ephb3 tyrosine kinase receptor inhibitor,inhibitor,target_ephb3_tyrosine_kinase_receptor
mechanism_hcrtr2_receptor_agonist_agonist,HCRTR2 receptor agonist;agonist,receptor agonist;agonist,target_hcrtr2
mechanism_orexin_receptor_agonist_agonist,Orexin receptor agonist;agonist,receptor agonist;agonist,target_orexin
mechanism_plagl2_gene_modulator_modulator,PLAGL2 gene modulator;modulator,gene modulator;modulator,target_plagl2
mechanism_dyrk1a_gene_modulator_modulator,DYRK1A gene modulator;modulator,gene modulator;modulator,target_dyrk1a
mechanism_dna_replication_licensing_factor_mcm2_modulator,DNA replication licensing factor MCM2 modulator,modulator,target_dna_replication_licensing_factor_mcm2
mechanism_vasopressin_v1b_receptor_antagonist_antagonist_agonist,Vasopressin V1b receptor antagonist;antagonist;agonist,receptor antagonist;antagonist;agonist,target_vasopressin_v1b
mechanism_snca_gene_modulator_modulator,alpha-synuclein gene modulator;modulator,gene modulator;modulator,target_snca
mechanism_uchl1_gene_modulator_modulator,UCHL1 gene modulator;modulator,gene modulator;modulator,target_uchl1
mechanism_vascular_cell_adhesion_protein_1_antagonist_agonist,Vascular cell adhesion protein 1 antagonist;agonist,antagonist;agonist,target_vascular_cell_adhesion_protein_1
mechanism_ccl5_gene_inhibitor,CCL5 gene inhibitor,inhibitor,target_ccl5_gene
mechanism_ccl20_gene_inhibitor,CCL20 gene inhibitor,inhibitor,target_ccl20_gene
mechanism_nadh_cytochrome_b5_reductase_3_stimulator,NADH cytochrome b5 reductase 3 stimulator,stimulator,target_nadh_cytochrome_b5_reductase_3
mechanism_icam-1_inhibitor,ICAM-1 inhibitor,inhibitor,target_icam-1
mechanism_cxcl10_gene_inhibitor,CXCL10 gene inhibitor,inhibitor,target_cxcl10_gene
mechanism_nmda_receptor_epsilon_2_subunit_inhibitor,NMDA receptor epsilon 2 subunit inhibitor,inhibitor,target_nmda_receptor_epsilon_2_subunit
mechanism_apolipoprotein_b_modulator,Apolipoprotein B modulator,modulator,target_apolipoprotein_b
mechanism_mitofusin_stimulator,Mitofusin stimulator,stimulator,target_mitofusin
mechanism_synaptic_vesicular_amine_transporter_inhibitor,Synaptic vesicular amine transporter inhibitor,inhibitor,target_synaptic_vesicular_amine_transporter
mechanism_c4b_binding_protein_alpha_chain_modulator,C4b binding protein alpha chain modulator,modulator,target_c4b_binding_protein_alpha_chain
mechanism_fibronectin_modulator,Fibronectin modulator,modulator,target_fibronectin
mechanism_anxa3_gene_modulator_modulator,ANXA3 gene modulator;modulator,gene modulator;modulator,target_anxa3
mechanism_a2m_gene_modulator_modulator,A2M gene modulator;modulator,gene modulator;modulator,target_a2m
mechanism_apoa1_gene_modulator_modulator,APOA1 gene modulator;modulator,gene modulator;modulator,target_apoa1
mechanism_anxa1_gene_modulator_modulator,ANXA1 gene modulator;modulator,gene modulator;modulator,target_anxa1
mechanism_c4bpa_gene_modulator_modulator,C4BPA gene modulator;modulator,gene modulator;modulator,target_c4bpa
mechanism_alpha_2_macroglobulin_modulator,Alpha 2 macroglobulin modulator,modulator,target_alpha_2_macroglobulin
mechanism_blvrb_gene_modulator_modulator,BLVRB gene modulator;modulator,gene modulator;modulator,target_blvrb
mechanism_annexin_a1_modulator,Annexin A1 modulator,modulator,target_annexin_a1
mechanism_apolipoprotein_a1_modulator,Apolipoprotein A1 modulator,modulator,target_apolipoprotein_a1
mechanism_fn1_gene_modulator_modulator,FN1 gene modulator;modulator,gene modulator;modulator,target_fn1
mechanism_c4b_binding_protein_beta_chain_modulator,C4b binding protein beta chain modulator,modulator,target_c4b_binding_protein_beta_chain
mechanism_c4bpb_gene_modulator_modulator,C4BPB gene modulator;modulator,gene modulator;modulator,target_c4bpb
mechanism_annexin_a3_modulator,Annexin A3 modulator,modulator,target_annexin_a3
mechanism_biliverdin_reductase_b_modulator,Biliverdin reductase B modulator,modulator,target_biliverdin_reductase_b
mechanism_bpgm_gene_modulator_modulator,BPGM gene modulator;modulator,gene modulator;modulator,target_bpgm
mechanism_cndp1_gene_modulator_modulator,CNDP1 gene modulator;modulator,gene modulator;modulator,target_cndp1
mechanism_np_gene_modulator_modulator,NP gene modulator;modulator,gene modulator;modulator,target_np
mechanism_carnosine_dipeptidase_1_modulator,Carnosine dipeptidase 1 modulator,modulator,target_carnosine_dipeptidase_1
