mechanism_id,name,action_type,target_id
mechanism_beta_adrenoceptor_agonist,Beta adrenoceptor agonist,agonist,target_beta_adrenoceptor
mechanism_beta_2_adrenoceptor_agonist,Beta 2 adrenoceptor agonist,agonist,target_beta_2_adrenoceptor
mechanism_beta_1_adrenoceptor_agonist,Beta 1 adrenoceptor agonist,agonist,target_beta_1_adrenoceptor
mechanism_atxn3_gene_modulator_modulator,ATXN3 gene modulator;modulator,gene modulator;modulator,target_atxn3
mechanism_ube3a_gene_modulator_modulator,UBE3A gene modulator;modulator,gene modulator;modulator,target_ube3a
mechanism_atxn2_gene_modulator_modulator,ATXN2 gene modulator;modulator,gene modulator;modulator,target_atxn2
mechanism_cacna1c_stimulator,CACNA1C stimulator,stimulator,target_cacna1c
mechanism_fos_related_antigen_stimulator,Fos related antigen stimulator,stimulator,target_fos_related_antigen
mechanism_apolipoprotein_e4_modulator,Apolipoprotein E4 modulator,modulator,target_apolipoprotein_e4
mechanism_apolipoprotein_e3_modulator,Apolipoprotein E3 modulator,modulator,target_apolipoprotein_e3
mechanism_app_aβ_antagonist_agonist,Amyloid beta / APP pathway antagonist;agonist,antagonist;agonist,target_app_aβ
mechanism_scn2a_gene_modulator_modulator,SCN2A gene modulator;modulator,gene modulator;modulator,target_scn2a
mechanism_gabbr2_gene_modulator_modulator,GABBR2 gene modulator;modulator,gene modulator;modulator,target_gabbr2
mechanism_v-type_proton_atpase_inhibitor,V-type proton ATPase inhibitor,inhibitor,target_v-type_proton_atpase
mechanism_gabra1_gene_modulator_modulator,GABRA1 gene modulator;modulator,gene modulator;modulator,target_gabra1
mechanism_glutaminyl_peptide_cyclotransferase_inhibitor,Glutaminyl peptide cyclotransferase inhibitor,inhibitor,target_glutaminyl_peptide_cyclotransferase
mechanism_ache_inhibitor,ACHE inhibitor,inhibitor,target_ache
mechanism_trp_cation_channel_c3_inhibitor,TRP cation channel C3 inhibitor,inhibitor,target_trp_cation_channel_c3
mechanism_mapt_aggregation_inhibitor_inhibitor,Tau protein aggregation inhibitor;inhibitor,aggregation inhibitor;inhibitor,target_mapt
mechanism_pde_1_inhibitor,PDE 1 inhibitor,inhibitor,target_pde_1
mechanism_nmda_receptor_agonist_agonist,NMDA receptor agonist;agonist,receptor agonist;agonist,target_nmda
mechanism_phospholipase_a2_inhibitor,Phospholipase A2 inhibitor,inhibitor,target_phospholipase_a2
mechanism_gpr139_antagonist_agonist,GPR139 antagonist;agonist,antagonist;agonist,target_gpr139
mechanism_diacylglycerol_o_acyltransferase_2_inhibitor,Diacylglycerol O acyltransferase 2 inhibitor,inhibitor,target_diacylglycerol_o_acyltransferase_2
